date,keyword,tweet_count,tweet_normalized,CL,CR,CL1RT,CL2RT,TBraw_ave,TBpolar_ave,TBneg_ave,TBpos_ave,TBweight_cl2rt,VADERraw_ave,VADERpolar_ave,VADERneg_ave,VADERpos_ave,VADERweight_cl2rt
2019-03-31,PE,1633,0.005208914804099509,10042,4346,12755,15468,0.10838977616939556,0.2883387351597737,-0.1634155495498305,0.2164234846282669,1.396627949013415,0.19464500918554747,0.30140446601941634,-0.44740607902735524,0.5027588108108094,2.8666355174525364
2019-04-30,PE,1601,0.004874885055021345,9263,4733,12395,15527,0.10792471231763946,0.3112816728961332,-0.1481981904671116,0.21043857385652362,0.7605492845897537,0.16776595877576536,0.26843237410071963,-0.45778028571428503,0.5021269320843094,0.803969019362899
2019-05-31,PE,1798,0.005284660376803927,10779,5178,14159,17539,0.11955927606845843,0.3029666936519806,-0.1532340810126955,0.2288633494966086,1.1584309373520585,0.21102836484983375,0.3166621342512917,-0.4340245700245702,0.535204042348413,2.266836929922139
2019-06-30,PE,1781,0.005773769386378962,33317,10808,42344,51371,0.1136466402982274,0.30593602649366985,-0.14191318791365137,0.20483723542628784,2.8766636285817273,0.23181313868613138,0.34838412132025065,-0.4510182608695645,0.5186683394160584,14.998762380685003
2019-07-31,PE,1687,0.005634395529890352,12926,6041,17280,21634,0.10991726745492345,0.26533283005437014,-0.15735385311914282,0.1946484469528624,1.3374038231523853,0.18734125666864257,0.2757836976320587,-0.45539637305699476,0.5044386666666658,2.9452782454060507
2019-08-31,PE,1621,0.005687799127005291,13172,6132,17683,22194,0.10720429724883376,0.2793312468849098,-0.16908839183119934,0.20350630606776524,1.7452168098393464,0.17912017273288172,0.2690997050147507,-0.45709364161849675,0.483827615965481,2.3246775447254824
2019-09-30,PE,1890,0.007050107989749367,38337,15020,51467,64597,0.12141343057560486,0.2703295171051373,-0.17393616315722238,0.21991729643588775,5.135447560878838,0.19374576719576808,0.2738680533751973,-0.4300920374707259,0.48960712377560145,11.233603650793667
2019-10-31,PE,1428,0.005295439543731875,8641,4095,11308,13975,0.10993934433944712,0.3121523560343829,-0.1393991916090561,0.20291079407615534,0.9746604983704438,0.2027895658263306,0.3109010033444816,-0.4956383458646612,0.5101976997578692,1.6232051120448145
2019-11-30,PE,1343,0.00459486182911767,10232,3748,12637,15042,0.09704957423849868,0.2867029912329584,-0.14943906498375503,0.20756748885370818,1.2515001746289176,0.19134616530156415,0.2926628805620616,-0.4733841911764704,0.5170756032171582,2.9725551005212214
2019-12-31,PE,1277,0.0033627563542138472,7906,3190,9819,11732,0.09340087018135539,0.30321016380409843,-0.1433097523129801,0.21584710153350922,1.3076120495676045,0.11155246671887199,0.16527312722948823,-0.5033118784530393,0.5227880837359105,0.9776115896632742
2020-01-31,PE,1578,0.0047710039062972415,16740,8576,23738,30736,0.08074130174295137,0.21992768198526047,-0.16878094659574017,0.2123590714551079,-1.4165818867823166,0.11963320659062109,0.18308905775075984,-0.4959495169082127,0.5072127413127416,-3.2435228770595677
2020-02-29,PE,1606,0.00624764157365876,18830,7232,24456,30082,0.09587887149826883,0.258549690882534,-0.17556996243584663,0.2252487445939558,2.438431547072556,0.0651696139476959,0.09745925563173333,-0.47396296992481257,0.5097295714285707,0.2570696139476962
2020-03-31,PE,1809,0.005160123569128256,43519,14312,56022,68525,0.0799270940756121,0.18524899128825073,-0.1851548596931215,0.20848253474822545,2.8551998381090935,0.026148977335544416,0.03604857389801195,-0.4901772657450087,0.47035802310654606,13.829900386954119
2020-04-30,PE,2332,0.006093593626289205,36274,11392,45334,54394,0.06869891933237526,0.1864932890281917,-0.15277142355696646,0.1880037332008846,2.182893683275169,0.020385634648370395,0.02624659014179607,-0.48971056422568954,0.4764311715481173,3.18213756432247
