date,keyword,CN_00,C_00,L_00,R_00,C_GxP_0,C_BxP_0,MeanTB_00,MeanVADER_00
2014-08-31,PE,4.280332089105361e-05,2886,1290,1671,0.7908704883227176,0.2091295116772824,0.08608979575646242,0.12842699237699237
2014-08-31,PU+,1.8539206900144494e-06,125,15,49,0.9313725490196079,0.06862745098039215,0.254987878776,0.4939864
2014-09-30,PE,2.840534065435169e-05,1741,624,708,0.8090216754540129,0.19097832454598712,0.12328036956721078,0.17478650201033888
2014-09-30,PU+,7.994610523051309e-07,49,13,26,0.4285714285714286,0.5714285714285714,0.02167078951020408,-0.20563469387755104
2014-10-31,PU+,1.029294431078602e-05,622,30,56,0.9192982456140352,0.08070175438596491,-0.008714842377813505,-0.36512588424437303
2014-10-31,PE,3.072989965454926e-05,1857,488,1014,0.8513881328252585,0.14861186717474142,0.052022934925970724,0.09585196553581043
2014-11-30,PE,4.133462338441979e-05,2361,722,761,0.5529815529815529,0.447018447018447,0.03470176932441333,0.16111211351122406
2014-11-30,PU+,9.804061455008505e-07,56,13,14,0.7674418604651163,0.23255813953488372,0.018255578714285715,-0.1307535714285714
2014-12-31,PE,2.6738264266955396e-05,1515,440,554,0.5323014804845222,0.4676985195154778,0.05095524478043042,0.04225854785478548
2014-12-31,PU+,1.9590411443115836e-06,111,46,97,0.5545454545454546,0.44545454545454555,0.011650362486486487,-0.18002252252252254
2015-01-31,PE,3.479894156813187e-05,2098,1434,1648,0.8309927360774818,0.16900726392251816,0.06763688230539099,0.20886382268827455
2015-01-31,PU+,1.1610705003666496e-06,70,6,4,0.5857142857142856,0.41428571428571426,0.009763450799999998,-0.01793571428571428
2015-02-28,PE,5.2401229119901974e-05,2771,1071,1609,0.9061358655953251,0.09386413440467495,0.08668201405476983,0.13576250451100685
2015-02-28,PU+,1.8154160936523238e-06,96,33,45,0.6774193548387097,0.3225806451612903,0.01755726910416667,-0.10977604166666666
2015-03-31,PU+,8.928564238201069e-07,51,7,10,0.6595744680851063,0.3404255319148936,0.06997771833333333,-0.001827450980392159
2015-03-31,PE,3.676467627494558e-05,2100,663,769,0.8447265625,0.1552734375,0.09111223454428068,0.05089652380952381
2015-04-30,PE,3.339655131674281e-05,1754,620,616,0.835672514619883,0.16432748538011696,0.10056760936179407,0.1048327251995439
2015-04-30,PU+,7.425687008853875e-07,39,10,2,0.631578947368421,0.3684210526315789,0.017350427333333335,-0.12457179487179487
2015-05-31,PE,4.8770129856937556e-05,2583,1070,1180,0.7087568412822518,0.29124315871774825,0.07805456382958319,0.09995021293070074
2015-05-31,PU+,2.0958127813085826e-06,111,180,175,0.68,0.32,0.005896318405405405,-0.09229009009009008
2015-06-30,PE,3.3668721014942524e-05,1735,805,883,0.851764705882353,0.14823529411764705,0.09144057152954847,0.11612092219020173
2015-06-30,PU+,9.896857474132963e-07,51,3,14,0.6470588235294117,0.3529411764705882,0.06486928103921569,-0.05987254901960785
2015-07-31,PE,3.2791894625594375e-05,1711,766,620,0.8079470198675497,0.19205298013245034,0.09663674534747091,0.10541104617182934
2015-07-31,PU+,1.5140617623740244e-06,79,3,5,0.35526315789473684,0.644736842105263,0.07604617596202531,-0.06546329113924051
2015-08-31,PU+,1.0916987151719843e-06,56,61,39,0.7924528301886792,0.20754716981132074,0.04535320117857143,0.004160714285714282
2015-08-31,PE,3.286792917464224e-05,1686,1245,1277,0.8471882640586798,0.1528117359413203,0.09590584622197444,0.15756138790035587
2015-09-30,PE,3.302053864988342e-05,1583,1270,1255,0.7673202614379084,0.2326797385620915,0.11404139222976083,0.11210366392924827
2015-09-30,PU+,1.1264112994906535e-06,54,14,20,0.8260869565217391,0.17391304347826086,0.012328376296296297,-0.037835185185185194
2015-10-31,PE,3.1265294186533735e-05,1478,942,932,0.7788663400979706,0.22113365990202938,0.12091921372367921,0.10542936400541272
2015-10-31,PU+,1.2480733132648785e-06,59,80,233,0.7321428571428572,0.2678571428571429,0.05385154505084746,0.02813050847457627
2015-11-30,PE,4.962989138459925e-05,2265,2871,2406,0.8248175182481752,0.1751824817518248,0.08068958687712825,0.11446242825607064
2015-11-30,PU+,9.422010284934957e-07,43,23,29,0.8604651162790697,0.1395348837209302,0.050721526581395344,0.1088139534883721
2015-12-31,PE,2.6317630539075216e-05,1197,1939,1876,0.7969283276450513,0.20307167235494883,0.08972846792004059,0.1300629072681704
2015-12-31,PU+,1.2532205018607247e-06,57,55,37,0.7000000000000001,0.30000000000000004,0.019995874280701754,-0.09445964912280702
